"","date","tmin","year","month","day","wy","yd","wyd","tmax","tmean","location"
"78",2018-03-19,4.6098,2018,3,19,2018,78,170,16.3161,10.46295,"Santa Barbara"
"79",2018-03-20,4.6123,2018,3,20,2018,79,171,16.1956,10.40395,"Santa Barbara"
"80",2018-03-21,5.8921,2018,3,21,2018,80,172,15.2073,10.5497,"Santa Barbara"
"81",2018-03-22,5.2325,2018,3,22,2018,81,173,13.8936,9.56305,"Santa Barbara"
"82",2018-03-23,6.4599,2018,3,23,2018,82,174,14.9207,10.6903,"Santa Barbara"
"83",2018-03-24,5.8996,2018,3,24,2018,83,175,14.3072,10.1034,"Santa Barbara"
"84",2018-03-25,3.7721,2018,3,25,2018,84,176,15.7812,9.77665,"Santa Barbara"
"85",2018-03-26,5.2219,2018,3,26,2018,85,177,17.5637,11.3928,"Santa Barbara"
"86",2018-03-27,7.3614,2018,3,27,2018,86,178,21.0438,14.2026,"Santa Barbara"
"87",2018-03-28,6.2149,2018,3,28,2018,87,179,21.0215,13.6182,"Santa Barbara"
"88",2018-03-29,5.9428,2018,3,29,2018,88,180,20.1183,13.03055,"Santa Barbara"
"89",2018-03-30,7.8866,2018,3,30,2018,89,181,19.0129,13.44975,"Santa Barbara"
"90",2018-03-31,8.4909,2018,3,31,2018,90,182,17.5289,13.0099,"Santa Barbara"
"91",2018-04-01,7.2538,2018,4,1,2018,91,183,20.4353,13.84455,"Santa Barbara"
"92",2018-04-02,7.2686,2018,4,2,2018,92,184,20.1036,13.6861,"Santa Barbara"
"93",2018-04-03,2.2788,2018,4,3,2018,93,185,17.171,9.7249,"Santa Barbara"
"94",2018-04-04,3.7853,2018,4,4,2018,94,186,16.3635,10.0744,"Santa Barbara"
"95",2018-04-05,6.0265,2018,4,5,2018,95,187,17.5927,11.8096,"Santa Barbara"
"96",2018-04-06,6.0821,2018,4,6,2018,96,188,18.2353,12.1587,"Santa Barbara"
"97",2018-04-07,7.9719,2018,4,7,2018,97,189,19.7117,13.8418,"Santa Barbara"
"98",2018-04-08,5.9727,2018,4,8,2018,98,190,20.0954,13.03405,"Santa Barbara"
"99",2018-04-09,8.399,2018,4,9,2018,99,191,14.5811,11.49005,"Santa Barbara"
"100",2018-04-10,9.4799,2018,4,10,2018,100,192,16.9202,13.20005,"Santa Barbara"
"101",2018-04-11,4.7968,2018,4,11,2018,101,193,15.847,10.3219,"Santa Barbara"
"102",2018-04-12,5.3528,2018,4,12,2018,102,194,16.8025,11.07765,"Santa Barbara"
"103",2018-04-13,6.4762,2018,4,13,2018,103,195,17.9716,12.2239,"Santa Barbara"
"104",2018-04-14,6.5739,2018,4,14,2018,104,196,19.3615,12.9677,"Santa Barbara"
"105",2018-04-15,6.6023,2018,4,15,2018,105,197,18.9685,12.7854,"Santa Barbara"
"106",2018-04-16,8.1223,2018,4,16,2018,106,198,20.1027,14.1125,"Santa Barbara"
"107",2018-04-17,7.2019,2018,4,17,2018,107,199,19.9557,13.5788,"Santa Barbara"
"108",2018-04-18,6.1854,2018,4,18,2018,108,200,19.2003,12.69285,"Santa Barbara"
"109",2018-04-19,6.2947,2018,4,19,2018,109,201,19.3921,12.8434,"Santa Barbara"
"110",2018-04-20,6.5136,2018,4,20,2018,110,202,17.6402,12.0769,"Santa Barbara"
"111",2018-04-21,7.7653,2018,4,21,2018,111,203,19.3803,13.5728,"Santa Barbara"
"112",2018-04-22,8.7338,2018,4,22,2018,112,204,19.7214,14.2276,"Santa Barbara"
"113",2018-04-23,7.7839,2018,4,23,2018,113,205,19.3617,13.5728,"Santa Barbara"
"114",2018-04-24,7.1221,2018,4,24,2018,114,206,18.9224,13.02225,"Santa Barbara"
"115",2018-04-25,6.8409,2018,4,25,2018,115,207,20.3946,13.61775,"Santa Barbara"
"116",2018-04-26,7.4918,2018,4,26,2018,116,208,21.5747,14.53325,"Santa Barbara"
"117",2018-04-27,8.0027,2018,4,27,2018,117,209,19.8831,13.9429,"Santa Barbara"
"118",2018-04-28,8.3298,2018,4,28,2018,118,210,20.3965,14.36315,"Santa Barbara"
"119",2018-04-29,7.5926,2018,4,29,2018,119,211,20.5342,14.0634,"Santa Barbara"
"120",2018-04-30,7.8863,2018,4,30,2018,120,212,19.9167,13.9015,"Santa Barbara"
"121",2018-05-01,9.4656,2018,5,1,2018,121,213,18.8094,14.1375,"Santa Barbara"
"122",2018-05-02,6.4764,2018,5,2,2018,122,214,18.1003,12.28835,"Santa Barbara"
"123",2018-05-03,8.6851,2018,5,3,2018,123,215,17.9153,13.3002,"Santa Barbara"
"124",2018-05-04,6.8159,2018,5,4,2018,124,216,18.6965,12.7562,"Santa Barbara"
"125",2018-05-05,7.3972,2018,5,5,2018,125,217,17.9828,12.69,"Santa Barbara"
"126",2018-05-06,8.5972,2018,5,6,2018,126,218,19.427,14.0121,"Santa Barbara"
"127",2018-05-07,8.8772,2018,5,7,2018,127,219,18.9224,13.8998,"Santa Barbara"
"128",2018-05-08,9.7833,2018,5,8,2018,128,220,19.5877,14.6855,"Santa Barbara"
"129",2018-05-09,8.49,2018,5,9,2018,129,221,17.4289,12.95945,"Santa Barbara"
"130",2018-05-10,9.4648,2018,5,10,2018,130,222,16.9272,13.196,"Santa Barbara"
"131",2018-05-11,9.2181,2018,5,11,2018,131,223,18.7063,13.9622,"Santa Barbara"
"132",2018-05-12,9.6865,2018,5,12,2018,132,224,17.6833,13.6849,"Santa Barbara"
"133",2018-05-13,8.2152,2018,5,13,2018,133,225,15.8565,12.03585,"Santa Barbara"
"134",2018-05-14,5.4435,2018,5,14,2018,134,226,18.4699,11.9567,"Santa Barbara"
"135",2018-05-15,7.5416,2018,5,15,2018,135,227,17.9947,12.76815,"Santa Barbara"
"136",2018-05-16,5.8285,2018,5,16,2018,136,228,22.3024,14.06545,"Santa Barbara"
"137",2018-05-17,10.8164,2018,5,17,2018,137,229,23.5742,17.1953,"Santa Barbara"
"138",2018-05-18,11.268,2018,5,18,2018,138,230,23.9911,17.62955,"Santa Barbara"
"139",2018-05-19,8.8205,2018,5,19,2018,139,231,20.8234,14.82195,"Santa Barbara"
"140",2018-05-20,8.2777,2018,5,20,2018,140,232,17.4308,12.85425,"Santa Barbara"
"141",2018-05-21,9.0247,2018,5,21,2018,141,233,17.0242,13.02445,"Santa Barbara"
"142",2018-05-22,9.1321,2018,5,22,2018,142,234,17.1136,13.12285,"Santa Barbara"
"143",2018-05-23,10.4465,2018,5,23,2018,143,235,19.8242,15.13535,"Santa Barbara"
"144",2018-05-24,8.6975,2018,5,24,2018,144,236,19.9803,14.3389,"Santa Barbara"
"145",2018-05-25,9.2908,2018,5,25,2018,145,237,19.1894,14.2401,"Santa Barbara"
"146",2018-05-26,8.9931,2018,5,26,2018,146,238,22.5742,15.78365,"Santa Barbara"
"147",2018-05-27,10.4999,2018,5,27,2018,147,239,18.9796,14.73975,"Santa Barbara"
"148",2018-05-28,8.9787,2018,5,28,2018,148,240,21.0541,15.0164,"Santa Barbara"
"149",2018-05-29,10.7834,2018,5,29,2018,149,241,20.784,15.7837,"Santa Barbara"
"150",2018-05-30,8.7589,2018,5,30,2018,150,242,21.0477,14.9033,"Santa Barbara"
"151",2018-05-31,9.3996,2018,5,31,2018,151,243,22.8145,16.10705,"Santa Barbara"
"152",2018-06-01,9.342,2018,6,1,2018,152,244,25.0923,17.21715,"Santa Barbara"
"153",2018-06-02,10.9254,2018,6,2,2018,153,245,25.151,18.0382,"Santa Barbara"
"154",2018-06-03,10.5761,2018,6,3,2018,154,246,22.2614,16.41875,"Santa Barbara"
"155",2018-06-04,11.1172,2018,6,4,2018,155,247,24.4965,17.80685,"Santa Barbara"
"156",2018-06-05,12.5309,2018,6,5,2018,156,248,26.0344,19.28265,"Santa Barbara"
"157",2018-06-06,12.4778,2018,6,6,2018,157,249,22.8882,17.683,"Santa Barbara"
"158",2018-06-07,12.4477,2018,6,7,2018,158,250,23.2923,17.87,"Santa Barbara"
"159",2018-06-08,12.534,2018,6,8,2018,159,251,22.847,17.6905,"Santa Barbara"
"160",2018-06-09,11.9513,2018,6,9,2018,160,252,24.0294,17.99035,"Santa Barbara"
"161",2018-06-10,13.9786,2018,6,10,2018,161,253,24.3321,19.15535,"Santa Barbara"
"162",2018-06-11,14.9994,2018,6,11,2018,162,254,22.8001,18.89975,"Santa Barbara"
"163",2018-06-12,12.6815,2018,6,12,2018,163,255,22.8618,17.77165,"Santa Barbara"
"164",2018-06-13,14.5272,2018,6,13,2018,164,256,23.9361,19.23165,"Santa Barbara"
"165",2018-06-14,12.2442,2018,6,14,2018,165,257,22.9757,17.60995,"Santa Barbara"
"166",2018-06-15,9.5653,2018,6,15,2018,166,258,25.558,17.56165,"Santa Barbara"
"167",2018-06-16,11.0897,2018,6,16,2018,167,259,29.7395,20.4146,"Santa Barbara"
"168",2018-06-17,15.5542,2018,6,17,2018,168,260,27.7521,21.65315,"Santa Barbara"
"169",2018-06-18,15.4205,2018,6,18,2018,169,261,32.9703,24.1954,"Santa Barbara"
"170",2018-06-19,9.8759,2018,6,19,2018,170,262,22.8247,16.3503,"Santa Barbara"
"171",2018-06-20,11.4935,2018,6,20,2018,171,263,23.4952,17.49435,"Santa Barbara"
"172",2018-06-21,11.4254,2018,6,21,2018,172,264,20.099,15.7622,"Santa Barbara"
"173",2018-06-22,13.0824,2018,6,22,2018,173,265,21.1628,17.1226,"Santa Barbara"
"174",2018-06-23,12.7242,2018,6,23,2018,174,266,21.7126,17.2184,"Santa Barbara"
"175",2018-06-24,12.7107,2018,6,24,2018,175,267,21.809,17.25985,"Santa Barbara"
"176",2018-06-25,8.7663,2018,6,25,2018,176,268,21.6431,15.2047,"Santa Barbara"
"177",2018-06-26,11.5743,2018,6,26,2018,177,269,21.7872,16.68075,"Santa Barbara"
"178",2018-06-27,10.2835,2018,6,27,2018,178,270,21.2443,15.7639,"Santa Barbara"
"179",2018-06-28,10.0642,2018,6,28,2018,179,271,21.588,15.8261,"Santa Barbara"
"180",2018-06-29,10.8795,2018,6,29,2018,180,272,26.1537,18.5166,"Santa Barbara"
"181",2018-06-30,11.0827,2018,6,30,2018,181,273,27.1466,19.11465,"Santa Barbara"
"182",2018-07-01,12.6999,2018,7,1,2018,182,274,26.7727,19.7363,"Santa Barbara"
"183",2018-07-02,12.29,2018,7,2,2018,183,275,25.8322,19.0611,"Santa Barbara"
"184",2018-07-03,13.45,2018,7,3,2018,184,276,25.3084,19.3792,"Santa Barbara"
"185",2018-07-04,12.1813,2018,7,4,2018,185,277,22.3272,17.25425,"Santa Barbara"
"186",2018-07-05,11.8128,2018,7,5,2018,186,278,22.7649,17.28885,"Santa Barbara"
"187",2018-07-06,11.985,2018,7,6,2018,187,279,21.8295,16.90725,"Santa Barbara"
"188",2018-07-07,14.2957,2018,7,7,2018,188,280,21.9696,18.13265,"Santa Barbara"
"189",2018-07-08,12.6828,2018,7,8,2018,189,281,21.8742,17.2785,"Santa Barbara"
"190",2018-07-09,11.9662,2018,7,9,2018,190,282,21.4446,16.7054,"Santa Barbara"
"191",2018-07-10,11.6778,2018,7,10,2018,191,283,20.9739,16.32585,"Santa Barbara"
"192",2018-07-11,12.4011,2018,7,11,2018,192,284,21.0913,16.7462,"Santa Barbara"
"193",2018-07-12,11.2253,2018,7,12,2018,193,285,21.1211,16.1732,"Santa Barbara"
"194",2018-07-13,12.1211,2018,7,13,2018,194,286,20.101,16.11105,"Santa Barbara"
"195",2018-07-14,10.6954,2018,7,14,2018,195,287,19.9618,15.3286,"Santa Barbara"
"196",2018-07-15,10.3534,2018,7,15,2018,196,288,20.3825,15.36795,"Santa Barbara"
"197",2018-07-16,10.2057,2018,7,16,2018,197,289,24.3504,17.27805,"Santa Barbara"
"198",2018-07-17,10.0128,2018,7,17,2018,198,290,23.3894,16.7011,"Santa Barbara"
"199",2018-07-18,12.746,2018,7,18,2018,199,291,22.8142,17.7801,"Santa Barbara"
"200",2018-07-19,12.9739,2018,7,19,2018,200,292,23.6497,18.3118,"Santa Barbara"
"201",2018-07-20,12.3021,2018,7,20,2018,201,293,21.6438,16.97295,"Santa Barbara"
"202",2018-07-21,14.0009,2018,7,21,2018,202,294,21.8101,17.9055,"Santa Barbara"
"203",2018-07-22,14.8423,2018,7,22,2018,203,295,22.3639,18.6031,"Santa Barbara"
"204",2018-07-23,13.2972,2018,7,23,2018,204,296,21.8072,17.5522,"Santa Barbara"
"205",2018-07-24,12.3999,2018,7,24,2018,205,297,23.844,18.12195,"Santa Barbara"
"206",2018-07-25,13.6155,2018,7,25,2018,206,298,22.9814,18.29845,"Santa Barbara"
"207",2018-07-26,13.1399,2018,7,26,2018,207,299,22.2922,17.71605,"Santa Barbara"
"208",2018-07-27,13.7803,2018,7,27,2018,208,300,25.2653,19.5228,"Santa Barbara"
"209",2018-07-28,13.5691,2018,7,28,2018,209,301,23.938,18.75355,"Santa Barbara"
"210",2018-07-29,13.8881,2018,7,29,2018,210,302,24.5943,19.2412,"Santa Barbara"
"211",2018-07-30,12.4251,2018,7,30,2018,211,303,26.317,19.37105,"Santa Barbara"
"212",2018-07-31,11.8232,2018,7,31,2018,212,304,23.8298,17.8265,"Santa Barbara"
"213",2018-08-01,14.6645,2018,8,1,2018,213,305,23.4262,19.04535,"Santa Barbara"
"214",2018-08-02,13.5637,2018,8,2,2018,214,306,21.4527,17.5082,"Santa Barbara"
"215",2018-08-03,13.9723,2018,8,3,2018,215,307,23.7017,18.837,"Santa Barbara"
"216",2018-08-04,12.7796,2018,8,4,2018,216,308,24.1425,18.46105,"Santa Barbara"
"217",2018-08-05,10.6885,2018,8,5,2018,217,309,24.3116,17.50005,"Santa Barbara"
"218",2018-08-06,12.4373,2018,8,6,2018,218,310,22.9871,17.7122,"Santa Barbara"
"219",2018-08-07,14.1857,2018,8,7,2018,219,311,23.8635,19.0246,"Santa Barbara"
"220",2018-08-08,13.1841,2018,8,8,2018,220,312,24.5305,18.8573,"Santa Barbara"
"221",2018-08-09,13.2281,2018,8,9,2018,221,313,25.1508,19.18945,"Santa Barbara"
"222",2018-08-10,12.0177,2018,8,10,2018,222,314,27.7438,19.88075,"Santa Barbara"
"223",2018-08-11,14.5584,2018,8,11,2018,223,315,26.0465,20.30245,"Santa Barbara"
"224",2018-08-12,14.3674,2018,8,12,2018,224,316,25.4653,19.91635,"Santa Barbara"
"225",2018-08-13,14.3169,2018,8,13,2018,225,317,26.6118,20.46435,"Santa Barbara"
"226",2018-08-14,13.7832,2018,8,14,2018,226,318,22.5161,18.14965,"Santa Barbara"
"227",2018-08-15,13.2861,2018,8,15,2018,227,319,22.5704,17.92825,"Santa Barbara"
"228",2018-08-16,13.2648,2018,8,16,2018,228,320,22.5893,17.92705,"Santa Barbara"
"229",2018-08-17,14.8919,2018,8,17,2018,229,321,22.8314,18.86165,"Santa Barbara"
"230",2018-08-18,14.1631,2018,8,18,2018,230,322,23.606,18.88455,"Santa Barbara"
"231",2018-08-19,14.3493,2018,8,19,2018,231,323,23.9727,19.161,"Santa Barbara"
"232",2018-08-20,15.1547,2018,8,20,2018,232,324,24.6044,19.87955,"Santa Barbara"
"233",2018-08-21,15.4141,2018,8,21,2018,233,325,25.9865,20.7003,"Santa Barbara"
"234",2018-08-22,14.3299,2018,8,22,2018,234,326,23.3807,18.8553,"Santa Barbara"
"235",2018-08-23,14.093,2018,8,23,2018,235,327,22.4818,18.2874,"Santa Barbara"
"236",2018-08-24,14.1422,2018,8,24,2018,236,328,22.0877,18.11495,"Santa Barbara"
"237",2018-08-25,13.7547,2018,8,25,2018,237,329,22.2331,17.9939,"Santa Barbara"
"238",2018-08-26,13.7501,2018,8,26,2018,238,330,22.8194,18.28475,"Santa Barbara"
"239",2018-08-27,13.702,2018,8,27,2018,239,331,23.1362,18.4191,"Santa Barbara"
"240",2018-08-28,14.4672,2018,8,28,2018,240,332,23.0179,18.74255,"Santa Barbara"
"241",2018-08-29,15.406,2018,8,29,2018,241,333,23.7413,19.57365,"Santa Barbara"
"242",2018-08-30,16.0755,2018,8,30,2018,242,334,20.9868,18.53115,"Santa Barbara"
"243",2018-08-31,14.3486,2018,8,31,2018,243,335,22.2754,18.312,"Santa Barbara"
"244",2018-09-01,11.9676,2018,9,1,2018,244,336,22.2291,17.09835,"Santa Barbara"
"245",2018-09-02,11.5999,2018,9,2,2018,245,337,22.8073,17.2036,"Santa Barbara"
"246",2018-09-03,10.116,2018,9,3,2018,246,338,21.5241,15.82005,"Santa Barbara"
"247",2018-09-04,10.9978,2018,9,4,2018,247,339,22.006,16.5019,"Santa Barbara"
"248",2018-09-05,10.6524,2018,9,5,2018,248,340,21.9808,16.3166,"Santa Barbara"
"249",2018-09-06,10.6014,2018,9,6,2018,249,341,24.46,17.5307,"Santa Barbara"
"250",2018-09-07,13.4697,2018,9,7,2018,250,342,25.7945,19.6321,"Santa Barbara"
"251",2018-09-08,13.4151,2018,9,8,2018,251,343,24.1504,18.78275,"Santa Barbara"
"252",2018-09-09,12.1062,2018,9,9,2018,252,344,21.7604,16.9333,"Santa Barbara"
"253",2018-09-10,9.7598,2018,9,10,2018,253,345,22.1244,15.9421,"Santa Barbara"
"254",2018-09-11,11.3686,2018,9,11,2018,254,346,25.8341,18.60135,"Santa Barbara"
"255",2018-09-12,13.8845,2018,9,12,2018,255,347,24.4104,19.14745,"Santa Barbara"
"256",2018-09-13,13.398,2018,9,13,2018,256,348,23.7377,18.56785,"Santa Barbara"
"257",2018-09-14,16.6161,2018,9,14,2018,257,349,23.9812,20.29865,"Santa Barbara"
"258",2018-09-15,14.8909,2018,9,15,2018,258,350,23.5923,19.2416,"Santa Barbara"
"259",2018-09-16,14.2751,2018,9,16,2018,259,351,22.8545,18.5648,"Santa Barbara"
"260",2018-09-17,9.5118,2018,9,17,2018,260,352,22.3772,15.9445,"Santa Barbara"
"261",2018-09-18,10.4454,2018,9,18,2018,261,353,21.5512,15.9983,"Santa Barbara"
"262",2018-09-19,9.7054,2018,9,19,2018,262,354,27.0491,18.37725,"Santa Barbara"
"263",2018-09-20,12.5044,2018,9,20,2018,263,355,27.8329,20.16865,"Santa Barbara"
"264",2018-09-21,9.7738,2018,9,21,2018,264,356,23.9537,16.86375,"Santa Barbara"
"265",2018-09-22,5.8793,2018,9,22,2018,265,357,24.2955,15.0874,"Santa Barbara"
"266",2018-09-23,10.0057,2018,9,23,2018,266,358,23.0229,16.5143,"Santa Barbara"
"267",2018-09-24,7.304,2018,9,24,2018,267,359,23.7881,15.54605,"Santa Barbara"
"268",2018-09-25,10.7326,2018,9,25,2018,268,360,22.56,16.6463,"Santa Barbara"
"269",2018-09-26,14.3316,2018,9,26,2018,269,361,27.8434,21.0875,"Santa Barbara"
"270",2018-09-27,17.6001,2018,9,27,2018,270,362,28.0262,22.81315,"Santa Barbara"
"271",2018-09-28,17.3949,2018,9,28,2018,271,363,27.8356,22.61525,"Santa Barbara"
"272",2018-09-29,16.3403,2018,9,29,2018,272,364,27.2108,21.77555,"Santa Barbara"
"273",2018-09-30,16.1356,2018,9,30,2018,273,365,26.5507,21.34315,"Santa Barbara"
"274",2018-10-01,13.9718,2018,10,1,2019,274,1,23.7944,18.8831,"Santa Barbara"
"275",2018-10-02,15.3742,2018,10,2,2019,275,2,26.1324,20.7533,"Santa Barbara"
"276",2018-10-03,14.5398,2018,10,3,2019,276,3,23.2175,18.87865,"Santa Barbara"
"277",2018-10-04,12.9728,2018,10,4,2019,277,4,24.2404,18.6066,"Santa Barbara"
"278",2018-10-05,11.3921,2018,10,5,2019,278,5,22.8249,17.1085,"Santa Barbara"
"279",2018-10-06,10.6825,2018,10,6,2019,279,6,22.6218,16.65215,"Santa Barbara"
"280",2018-10-07,11.2305,2018,10,7,2019,280,7,25.2814,18.25595,"Santa Barbara"
"281",2018-10-08,12.1967,2018,10,8,2019,281,8,25.3954,18.79605,"Santa Barbara"
"282",2018-10-09,10.2852,2018,10,9,2019,282,9,23.8086,17.0469,"Santa Barbara"
"283",2018-10-10,8.9295,2018,10,10,2019,283,10,23.2017,16.0656,"Santa Barbara"
"284",2018-10-11,7.5708,2018,10,11,2019,284,11,20.2411,13.90595,"Santa Barbara"
"285",2018-10-12,7.5581,2018,10,12,2019,285,12,20.9704,14.26425,"Santa Barbara"
